cell_name,donor_short_id,donor_long_id,study_accession,sample_accession,ENA_Accession
25476_5#84,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661489,ERR2981504
25476_5#85,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661490,ERR2981505
25476_5#87,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661492,ERR2981507
25476_5#90,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661495,ERR2981510
25476_5#91,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661496,ERR2981511
25476_5#92,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661497,ERR2981512
25476_5#93,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661498,ERR2981513
25476_5#94,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661499,ERR2981514
25476_5#95,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661500,ERR2981515
25476_5#99,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661504,ERR2981519
25476_6#100,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661889,ERR2981904
25476_6#101,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661890,ERR2981905
25476_6#102,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661891,ERR2981906
25476_6#103,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661892,ERR2981907
25476_6#104,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661893,ERR2981908
25476_6#105,zihe_1,HPSI0115i-zihe_1,PRJEB14362,SAMEA104661894,ERR2981909
25476_6#106,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661895,ERR2981910
25476_6#107,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661896,ERR2981911
25476_6#108,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661897,ERR2981912
25476_6#109,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661898,ERR2981913
25476_6#110,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661899,ERR2981914
25476_6#111,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661900,ERR2981915
25476_6#112,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661901,ERR2981916
25476_6#113,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661902,ERR2981917
25476_6#114,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661903,ERR2981918
25476_6#115,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661904,ERR2981919
25476_6#116,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661905,ERR2981920
25476_6#117,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661906,ERR2981921
25476_6#118,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661907,ERR2981922
25476_6#119,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661908,ERR2981923
25476_6#121,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661910,ERR2981925
25476_6#122,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661911,ERR2981926
25476_6#123,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661912,ERR2981927
25476_6#124,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661913,ERR2981928
25476_6#125,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661914,ERR2981929
25476_6#126,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661915,ERR2981930
25476_6#128,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661917,ERR2981932
25476_6#129,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661918,ERR2981933
25476_6#130,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661919,ERR2981934
25476_6#131,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661920,ERR2981935
25476_6#132,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661921,ERR2981936
25476_6#133,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661922,ERR2981937
25476_6#134,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661923,ERR2981938
25476_6#135,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661924,ERR2981939
25476_6#136,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661925,ERR2981940
25476_6#137,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104661926,ERR2981941
25476_6#138,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661927,ERR2981942
25476_6#139,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661928,ERR2981943
25476_6#140,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661929,ERR2981944
25476_6#141,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661930,ERR2981945
25476_6#142,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661931,ERR2981946
25476_6#143,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661932,ERR2981947
25476_6#146,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661935,ERR2981950
25476_6#147,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661936,ERR2981951
25476_6#148,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661937,ERR2981952
25476_6#149,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661938,ERR2981953
25476_6#150,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661939,ERR2981954
25476_6#152,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104661941,ERR2981956
25476_6#153,zihe_1,HPSI0115i-zihe_1,PRJEB14362,SAMEA104661942,ERR2981957
25476_6#154,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661943,ERR2981958
25476_6#155,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661944,ERR2981959
25476_6#156,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661945,ERR2981960
25476_6#157,bima_1,HPSI1113i-bima_1,PRJEB14362,SAMEA104661946,ERR2981961
25476_6#158,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661947,ERR2981962
25476_6#159,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661948,ERR2981963
25476_6#160,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661949,ERR2981964
25476_6#162,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661951,ERR2981966
25476_6#163,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661952,ERR2981967
25476_6#164,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661953,ERR2981968
25476_6#165,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661954,ERR2981969
25476_6#167,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661956,ERR2981971
25476_6#168,fiaj_3,HPSI0514i-fiaj_3,PRJEB14362,SAMEA104661957,ERR2981972
25476_6#171,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661960,ERR2981975
25476_6#172,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661961,ERR2981976
25476_6#173,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661962,ERR2981977
25476_6#174,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661963,ERR2981978
25476_6#175,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661964,ERR2981979
25476_6#176,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661965,ERR2981980
25476_6#177,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661966,ERR2981981
25476_6#178,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661967,ERR2981982
25476_6#179,giju_2,HPSI0214i-giju_2,PRJEB14362,SAMEA104661968,ERR2981983
25476_6#180,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661969,ERR2981984
25476_6#181,qihv_1,HPSI0514i-qihv_1,PRJEB14362,SAMEA104661970,ERR2981985
25476_6#182,vuna_3,HPSI0514i-vuna_3,PRJEB14362,SAMEA104661971,ERR2981986
